ANOENC,NUMERO,CODIGO,CODIGO 4D,GASTO,CCAA,CAPROV,TAMAMU,TAMANO,TIPHOGAR1,TIPHOGAR7,INTERIN
2023,12812,9322,932,7767.44,"Madrid, Comunidad de",No,Municipio de 100.000 habitantes o más,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,13077,9321,932,7774.8,Comunitat Valenciana,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,8680,9322,932,7776.33,Comunitat Valenciana,No,Municipio con 10.000 o más y menos de 20.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 2000 a menos de 2500 €
2023,3759,9322,932,7784.19,"Asturias, Principado de",Sí,Municipio de 100.000 habitantes o más,Cinco personas,Otros Hogares,Otros tipos de hogares,De 7000 a menos de 9000 €
2023,20337,9450,945,7786.44,"Madrid, Comunidad de",Sí,Municipio de 100.000 habitantes o más,Dos personas,Pareja sin hijos teniendo al menos uno de los miembros 65 años o más,Pareja sin hijos,De 3000 a menos de 5000 €
2023,14814,9322,932,7798.95,"Asturias, Principado de",No,Municipio con menos de 10.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 2000 a menos de 2500 €
2023,18558,9322,932,7802.43,Canarias,No,Municipio de 100.000 habitantes o más,Tres personas,Otros Hogares,Otros tipos de hogares,De 1000 a menos de 1500 €
2023,1931,9322,932,7808.92,"Rioja, La",No,Municipio con menos de 10.000 habitantes,Tres personas,"Padre o madre solo, con al menos un hijo de 16 o más años",Un adulto con hijos,De 2500 a menos de 3000 €
2023,2541,9450,945,7833.57,Comunitat Valenciana,No,Municipio con menos de 10.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 3000 a menos de 5000 €
2023,1611,9450,945,7840.06,"Madrid, Comunidad de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 7000 a menos de 9000 €
2023,13558,9322,932,7850.06,Aragón,Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,19162,9321,932,7853.13,País Vasco,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,5399,9322,932,7895.79,Castilla y León,No,Municipio con menos de 10.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 5000 a menos de 7000 €
2023,4138,9322,932,7919.81,País Vasco,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 5000 a menos de 7000 €
2023,13936,9450,945,7926.42,Comunitat Valenciana,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,6998,9322,932,7939.67,Galicia,No,Municipio con 10.000 o más y menos de 20.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 1000 a menos de 1500 €
2023,2844,9450,945,7946.27,"Madrid, Comunidad de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 2500 a menos de 3000 €
2023,7183,9321,932,7951.05,"Murcia, Región de",No,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 2500 a menos de 3000 €
